,EXEC,INST,IPC,L2MISS,FREQ,L2MPI,PhysIPC%,INSTnom%,L3MISS,MEM,L3HIT,L3MPI,GT,Pred
431,0.31506666666666666,0.35926759847981454,0.6507246376811595,0.03020176991149373,0.27929770403230586,0.042004811547731356,0.6505797101449277,0.3152,0.009151437151437151,0.01712124425592082,0.9943,0.009414388489208633,1.01475354657,1.02147007249176
79,0.29896296296266667,0.676090703535604,0.4293880837355073,0.040704424778852846,0.49780264540025165,0.060064153969390556,0.42914653784202905,0.2988148148146667,0.43634110300815104,0.6152154275164369,0.810111111111,0.48834532374100714,1.08513838653,1.1402794792970454
248,0.2931851851853334,0.6375860882655686,0.4414251207717391,0.03923893805318965,0.4588933907854683,0.05773857257420118,0.4421095008050725,0.2931851851853333,0.34781448114800523,0.5968343741406857,0.8488888888889999,0.3722302158273381,1.07195378422,1.1024548964417247
709,0.9790476190466667,0.4021089513600156,0.581262939960145,0.2661542351454279,0.971872329869102,0.1200652995760706,0.5813664596275362,0.979428571428,0.007175338603912486,0.01150734737160834,0.999285714286,0.002396711202460432,1.3285836099600001,1.3038877743126764
674,0.4271111111113333,0.26458831190425686,0.8824476650579711,0.023815929203545555,0.279203378566456,0.024510825982359465,0.8816425120797103,0.4271111111106667,0.005565565565559846,0.00905070499981619,0.9957777777779999,0.004241406874503597,1.02318264241,1.0204211416503952
138,0.9666666666666667,0.41159149009753543,0.567523056652174,0.27957200321777714,0.9821531931305297,0.1294853101990094,0.5676548089594204,0.9666666666666667,0.00504972504972973,0.007662199942156239,0.999818181818,0.0017318508829352519,1.3370019935700002,1.304915035526069
316,0.3148484848486667,0.3604284082625164,0.6485507246376813,0.023685277554310196,0.28005016399748023,0.03379674856017794,0.6486166007905797,0.31478787878799996,0.009751569751574433,0.01837077026895723,0.992363636364,0.010294310006546764,1.0185595514299999,1.024236731990335
21,0.3398333333333334,0.33411680546902334,0.6992753623188406,0.02662566371680473,0.28014663322389344,0.034994987971144746,0.7000000000000001,0.34,0.009502359502359503,0.05506892895015907,0.99325,0.009244604316546763,1.01280179095,1.0120620493063643
317,0.29416666666666663,0.5569740896780649,0.4901570048297102,0.047243362831947876,0.4029760756317179,0.07121090617472782,0.4905797101449276,0.2941111111106666,0.3903760903766624,0.602215152585366,0.866333333333,0.4354556354920864,1.1016773127600001,1.1052189972246842
605,0.30549206349200003,0.7629860083113543,0.4125603864746377,0.059103413400722435,0.5707027553451396,0.08361782563860609,0.4128364389231885,0.30558730158666664,0.6189945047087088,0.7555757545153765,0.829333333333,0.6433504624877698,1.24135771887,1.209578776789018
