,EXEC,L3MISS,L2MISS,MEM,IPC,INST,L3MPI,INSTnom%,PhysIPC%,FREQ,L2MPI,L3HIT,GT,Pred
129,0.3175,0.010407550407550408,0.02342389380530144,0.019153411099328384,0.651268115942029,0.3587523070928051,0.010890287769784172,0.31766666666666665,0.651358695652174,0.28107514952719237,0.033136527666412646,0.99175,1.01738193509,1.0213360305200299
569,0.31966666666666665,0.010439010439004722,0.026888495575211717,0.02017202780723931,0.6594202898550725,0.35489849165800574,0.010657074340532374,0.319555555556,0.6589371980673914,0.27979291272775236,0.03709703287892425,0.992833333333,1.00232411097,1.020222842986928
72,0.31704761904733336,0.009335049335049335,0.027443742098613284,0.019736403575227997,0.6532091097318841,0.35742119852373994,0.009706063720446042,0.31695238095199996,0.6542443064181159,0.2792370662330584,0.03850956581501143,0.993714285714,1.01313382302,1.0197460535220733
679,0.31644444444466663,0.010120596787267268,0.024385840707941805,0.019446211853418167,0.6513687600652174,0.35897997170416146,0.01044764188648921,0.316296296296,0.6512882447666668,0.2802645400559405,0.03401363271855414,0.992111111111,1.02770914984,1.0212941800689381
712,0.6009333333333333,0.008552552552552552,0.04122477876104735,0.014642629904559914,0.6202898550724638,0.3768330212440543,0.004653237410071943,0.6008,0.6205797101449276,0.5585954080646117,0.03029109863674029,0.996,1.04806269082,1.0361521212777984
611,0.9709090909066668,0.006520806520806521,0.3057248592113608,0.009008001542453164,0.5694993412391305,0.41110753451191073,0.00222550686723741,0.9700606060600001,0.5694993412384058,0.9825390700361828,0.14047532259255832,0.999818181818,1.32761962142,1.288810031459761
616,0.3163703703706667,0.009171075837734877,0.026998230088471853,0.018918345705196182,0.6529790660217392,0.3582209776667373,0.009621103117510792,0.316296296296,0.6527375201289856,0.2795570990625971,0.03825180433040828,0.9936666666670001,1.02575931239,1.0210710378422998
526,0.32293333333333335,0.4639039039039039,0.05110725663715005,0.6959349593495935,0.4418115942028986,0.7377222265786908,0.4366330935251799,0.32293333333333335,0.4417391304347827,0.5863978390891043,0.06856455493186389,0.868,1.09186206049,1.2084845315526995
593,0.36137254901933336,0.0055204784616559414,0.4463925039046207,0.007527914665323436,0.45161977834782613,0.51745243062018,0.004950486669482015,0.36149019607866667,0.45187553282173915,0.4614804053973716,0.541299117883136,1.0,1.0540848858399998,1.0154408897593703
330,0.313523809524,0.008931788931788932,0.023809608091011035,0.0164066050598374,0.6459627329202898,0.3620613528876565,0.009279547790345325,0.313523809524,0.6458074534159419,0.28014663322389344,0.03334144804676958,0.993,1.0214448418700002,1.023537258558108
69,0.428761904762,0.007528344671196912,0.024676611883669142,0.01138211382113821,0.8840579710144928,0.2645699712538044,0.005759506680374101,0.4287619047613333,0.8830227743260872,0.2796918497279453,0.025518386985924426,0.994285714286,1.01243940389,1.0187193659934106
313,0.324424242424,0.007032487032483914,0.04216894609825056,0.010448921880523153,0.641304347826087,0.3649118101638155,0.0070137344669784175,0.3242424242426667,0.6406455862978261,0.2922052865138753,0.05678719836714386,0.996818181818,1.0160869060700002,1.0175621326402111
424,0.4274,0.009014157014157014,0.030956814159281074,0.010699186991869919,0.8826086956521739,0.2645245689957595,0.006874820143884892,0.42746666666666666,0.8833333333333334,0.27897935558546055,0.0318572574178155,0.9946,1.01804427294,1.0188149203456
566,0.5984444444446667,0.007550407550407551,0.04444247787609045,0.012221043949579355,0.6183574879239131,0.37803978281450856,0.004155875299755396,0.598444444444,0.617995169081884,0.5585246639649591,0.03300721732159703,0.9966666666670001,1.0105158747299998,1.0359055353048527
146,0.43188888888866667,0.008497068497074217,0.026835398230068377,0.014264168728639096,0.8919082125615941,0.2622312669323368,0.006371702637884892,0.432,0.8925120772971016,0.27943919223055,0.027251403368106355,0.994166666667,1.0311397203100001,1.0181639611032276
398,0.3154,0.009453453453453454,0.026464778761052576,0.017470484270060094,0.6496376811594204,0.36005155093106334,0.009938129496402878,0.3154666666666667,0.6492753623188405,0.2802527493728419,0.03760224538894851,0.9933,1.01534836433,1.0222488571934782
652,0.30626666666666663,0.4526469326469327,0.04395823008848001,0.6458819370802403,0.5142028985507247,0.565277217490184,0.45510791366906483,0.3061333333333333,0.5144927536231885,0.42637468647484994,0.06149157979152425,0.8336,1.13109319745,1.124562961974042
133,0.35791666666666666,0.00569069069069069,0.4424336283184274,0.008867090844821493,0.47961956521739135,0.4873891783545169,0.005278776978417266,0.35800000000000004,0.4794384057971014,0.4305662743583135,0.5548315958302145,1.0,1.02850954323,1.0268659359078278
614,0.3154814814813333,0.009451356118026598,0.02334867256636695,0.018019716429042067,0.6505636070869566,0.35906972423408146,0.009940847322143884,0.315407407408,0.6510466988724639,0.2795570990625971,0.033183640737799995,0.9923333333329999,1.02961863199,1.0221733762538872
71,0.6223809523806666,0.006991481277202917,0.02647888748419239,0.011735595616825734,0.6418219461702899,0.3646917208940174,0.003679342240489209,0.6222857142853333,0.6414078674949276,0.5593836994569519,0.018852674991430972,0.995,1.01457301696,1.0429857994842315
157,0.33666666666666667,0.009111969111969112,0.029092035398230406,0.014306586544135738,0.6920289855072465,0.3377292906550952,0.008892086330935252,0.3362222222226667,0.6921497584543479,0.2805003537200345,0.03825180433040828,0.994166666667,1.02536622087,1.0187669500134242
605,0.30549206349200003,0.6189945047087088,0.059103413400722435,0.7555757545153765,0.4125603864746377,0.7629860083113543,0.6433504624877698,0.30558730158666664,0.4128364389231885,0.5707027553451396,0.08361782563860609,0.829333333333,1.24135771887,1.2202276613037455
688,0.62,0.008192192192192192,0.022829734513266253,0.013025097207493815,0.6427536231884059,0.36425804367582787,0.004348201438848921,0.6197333333333334,0.6418840579710146,0.5568975496814367,0.016354450681642485,0.9932,1.02341058199,1.0430675233145974
388,0.4417333333333333,0.005336765336765337,0.5849203539820937,0.007246376811594203,0.36594202898550726,0.6371453056560655,0.003992805755395684,0.4418666666666667,0.3667391304347826,0.694742427165466,0.5918203688855621,1.0,1.0278439983299998,1.0529590742890278
524,0.3253333333333333,0.014671814671814673,0.02692831858406126,0.02896783315659244,0.6684782608695653,0.3491431884290461,0.014733812949640289,0.32566666666666666,0.6692028985507247,0.28041192359626455,0.0365918203689,0.9895,1.0255888910100002,1.0146706110233297
240,0.3163333333333333,0.008843843843843844,0.026565929203530413,0.016799222340049488,0.6521739130434784,0.358383242236607,0.009226618705035971,0.31633333333333336,0.6528079710144928,0.2796160524791512,0.03747143143546009,0.993875,1.0067705314,1.0220816116964593
517,0.437,0.01096954096954097,0.022770796460168927,0.017363025804171085,0.9021739130434784,0.26025904108152753,0.008244604316546764,0.4373333333333333,0.9021739130434784,0.2796160524791512,0.02312249398557463,0.99125,1.01794711642,1.0187166164705346
512,0.3626666666666667,0.011763191763191764,0.502566371681238,0.017765995051254858,0.4972826086956522,0.4698758468177838,0.010633093525179858,0.36333333333333334,0.4974637681159422,0.4207505305805824,0.6134723336008876,1.0,1.0231917607799998,1.0719456365551847
138,0.9666666666666667,0.00504972504972973,0.27957200321777714,0.007662199942156239,0.567523056652174,0.41159149009753543,0.0017318508829352519,0.9666666666666667,0.5676548089594204,0.9821531931305297,0.1294853101990094,0.999818181818,1.3370019935700002,1.2948858505002367
250,0.3146666666666667,0.7308139308142428,0.0597634754625983,0.8276615572484977,0.37038866930072467,0.8494019214785016,0.7490516677568345,0.31478787878799996,0.37048748353115946,0.6587883465170138,0.0815983815702813,0.7909999999999999,1.1532962426200002,1.213706312486101
325,0.2731111111113333,0.005891605891600172,0.289359292035402,0.008293154235885471,0.5347826086956522,0.43703396273795403,0.0071318944844172664,0.2728888888893333,0.5349758454108696,0.29436619718298496,0.4732157177215209,1.0,1.07161341134,1.0278463650848386
