Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-4-learning-23-regular-89,3402.0,0.9794,0.14846,0.2022,2492.0,0.2966,7.41,0.8754,4.7302,0.0017716,0.6004,2.0478,0.00076516,1.7466,43.72,2.2456,2100.0,1.884
batch-3-learning-1-regular-100,3300.0,0.9744,0.14808,0.1962,2490.0,0.2964,7.404,0.8882,4.5002,0.0016862,0.632,1.7934,0.00067822,1.7732,44.36,2.1336,2100.0,1.884
batch-1-learning-34-regular-89,2597.5,1.02875,0.141525,0.15475,2380.0,0.28325,7.08,0.959,3.47975,0.00168725,0.59275,1.88775,0.000900925,1.9225,48.0,1.96575,2100.0,1.9025
batch-2-learning-1-regular-23,3312.0,0.9744,0.15112,0.197,2538.0,0.3022,7.55,0.8914,4.132,0.001543,0.623,1.7326,0.0006576,1.7862,44.66,2.037,2100.0,1.828
batch-5-learning-78-regular-34,5743.33333333,0.991333333333,0.189316666667,0.342166666667,3183.33333333,0.378666666667,9.45666666667,0.794333333333,8.77483333333,0.002281,0.604833333333,3.45983333333,0.00096965,1.5865,39.6833333333,3.07816666667,2100.0,2.04833333333
batch-1-learning-12-regular-12,2657.5,1.045,0.14305,0.15825,2402.5,0.286,7.14,0.9555,3.35325,0.0016395,0.57275,1.84275,0.000886875,1.9125,47.8,1.9795,2100.0,1.9075
batch-2-learning-100-regular-100,3894.0,1.0228,0.16524,0.231,2784.0,0.3304,8.272,0.8718,4.3128,0.0016628,0.6292,1.7264,0.00072826,1.7418,43.62,2.0978,2110.0,1.862
batch-5-learning-67-regular-45,6340.0,1.05333333333,0.202133333333,0.377666666667,3400.0,0.4045,10.115,0.768,9.44333333333,0.002453,0.6115,3.6355,0.00106765,1.53566666667,38.3666666667,3.24566666667,2100.0,2.115
batch-4-learning-56-regular-45,3940.0,1.0294,0.16034,0.2346,2696.0,0.321,8.02,0.8536,5.3354,0.0019264,0.6026,2.1906,0.0008625,1.7086,42.68,2.3888,2100.0,1.95
batch-5-learning-100-regular-56,5866.66666667,0.993666666667,0.192216666667,0.3495,3226.66666667,0.384,9.61,0.792333333333,8.78283333333,0.00224666666667,0.609,3.41833333333,0.00094685,1.5875,39.6333333333,3.1475,2100.0,2.08166666667
