Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
num-900000,stress:cpu_2_io_1_vm_4_vmbytes_128K,13625.0,1.04875,1.12625,0.810625,18900.0,2.25,56.2625,1.38875,8.93625,0.00047225,0.996125,0.0325375,1.726e-06,2.7775,69.4375,0.0201325,2100.0,0.00276375,1.44548521752
num-900000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7102.5,1.045,0.764875,0.421125,12900.0,1.53125,38.25,1.8175,41.4375,0.00321,0.999125,0.0380125,2.9375e-06,3.63375,90.8875,0.02272,2107.5,0.003525,1.00231725833
num-1000000,stress:cpu_2_io_1_vm_4_vmbytes_128K,13712.5,1.04875,1.175,0.805875,20025.0,2.35,58.75,1.4575,3.79,0.000189125,0.99025,0.0346125,1.74125e-06,2.9175,72.9125,0.0211375,2128.75,0.0029,1.37130206205
num-1000000,ferret:eyes-2-pyramid-7-selectivity-1,2342.5,1.038,0.175,0.136875,2993.75,0.35,8.7525,1.27875,1.43625,0.00048425,0.96625,0.04635,1.59725e-05,2.55875,63.975,0.0443625,2137.5,0.0170125,0.980227464701
num-1000000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7160.0,1.04875,0.77425,0.426125,13025.0,1.54875,38.7,1.81625,71.6375,0.005505,0.99975,0.0280375,2.16125e-06,3.635,90.8625,0.01627875,2100.0,0.00259875,1.01091152923
num-1000000,svm:batch-4-learning-34-regular-12,5130.0,1.02425,0.170875,0.305625,2871.25,0.3415,8.5425,0.6925,6.8125,0.002066125,0.616875,2.572625,0.000818125,1.385625,34.625,2.387875,2100.0,1.855,1.13027099217
num-1000000,stress:cpu_5_io_2_vm_3_vmbytes_1M,17500.0,1.04875,1.3175,1.045,22150.0,2.6375,65.9,1.2675,272.25,0.012325,1.0,0.0302875,1.368125e-06,2.5325,63.3625,0.01762625,2100.0,0.00361875,1.61596164858
num-1000000,ferret:eyes-2-pyramid-7-selectivity-2,2410.0,1.05375,0.17975,0.140125,3088.75,0.3595,8.98875,1.28375,1.3875,0.000450375,0.958125,0.0592,1.93775e-05,2.56625,64.1625,0.050625,2147.5,0.01638625,0.9808292778
num-1000000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.11625,1.045,18700.0,2.2225,55.625,1.07,41.1875,0.00220375,0.9995,0.0207875,1.110875e-06,2.13875,53.4375,0.01123625,2100.0,0.00163525,1.60406974238
num-1000000,ferret:eyes-1-pyramid-16-selectivity-0,2362.5,1.05625,0.17775,0.138875,3021.25,0.355375,8.88625,1.27875,1.78875,0.000591625,0.965,0.0613125,2.02625e-05,2.56,63.9875,0.05885,2126.25,0.02475,0.992292728722
