,EXEC,FREQ,MEM,PhysIPC%,GT,Pred
5410,0.24804045512072834,0.34776855797260064,0.6812361331220287,0.47663118926422954,1.03566222988,1.0274907723384494
5540,0.9427487809328515,0.9248550283538995,0.5098256735340729,0.6339657565941694,1.3413043950299999,1.3603961098683608
1425,0.6781289506970372,0.9718546759361997,0.4752377179080825,0.43105043961129114,1.56986978646,1.489996706012425
3785,0.3483185840716772,0.3481722359272989,0.6556259904912837,0.6761684405367885,1.01876830399,1.016149742552928
7198,0.24546144121427427,0.3489795918366956,0.6779714738510302,0.4729291994447015,1.04514691446,1.0309186695965908
3232,0.24864728192224692,0.34736488001790233,0.6553090332805072,0.47755668671911156,1.02682848838,1.036761534539579
5633,0.3815423514548206,0.6477012783134507,0.603486529318542,0.36742248958815366,1.08262132433,1.114724575612291
169,0.25046776232680273,0.3566494729759636,0.6820602218700476,0.4731142989356779,1.02172626283,1.0300798393599715
2538,0.2680151706704628,0.46776183000667554,0.7155309033280507,0.4298935677926886,1.0840444319700002,1.0739912635736268
7256,0.38048040455216314,0.6575913882035593,0.5806022187004755,0.3577973160573808,1.10323931329,1.13235961497926
2138,0.9579194509708165,0.917790664146679,0.5477473398240889,0.6473193627292919,1.45405085169,1.2897016046928018
3182,0.9431099873576312,0.9010428347158667,0.5287110406767037,0.6501619620546043,1.32621983963,1.3116974024169887
7636,0.35059418457737196,0.3548329221798212,0.6281774960380349,0.6719111522443313,0.9960010383700001,1.0410143610891147
1473,0.24864728192224692,0.3524108544516313,0.6743898573692552,0.47459509486348916,1.0444760947,1.0316382233728025
7270,0.2460682680157929,0.34736488001790233,0.6823454833597465,0.47366959740860715,1.04229206403,1.0282659076936111
2996,0.2475853350195894,0.35220901547428207,0.687797147385103,0.47403979639055993,1.0275136873200001,1.0284155212060346
1114,0.2500126422256638,0.3566494729759636,0.6778763866877972,0.47403979639055993,1.0403976529,1.0318154171373193
3885,0.3539317319857243,0.527405247813352,0.6442472266244057,0.421286441462286,1.04531309716,1.051542738727766
5757,0.3649810366636283,0.4669208342680571,0.7110142630744849,0.6060465833715872,1.0524850868100002,1.0828012283733157
991,0.3480151706709179,0.35099798161018714,0.6462123613312204,0.6722813512262842,1.0205910580500002,1.024449191533778
2178,0.36864728192255036,0.3576586678627094,0.6665293185419968,0.7104118463674225,1.04094842501,1.0218437585781364
4239,0.24788874842034866,0.34433729535766494,0.6519492868462758,0.4781119851920407,1.02764352326,1.0373273874592086
7284,0.24849557522186727,0.3479703969499498,0.6790491283676705,0.47644608977325303,1.02820050379,1.0278739298906134
2597,0.3815423514548206,0.6452792105852607,0.5446592709984153,0.3642757982415548,1.1609377247100001,1.158519383103406
1625,0.379898862200455,0.4884503251849643,0.6904120443740095,0.5702606817834336,1.10504857424,1.0793809526852032
3156,0.2472819216188301,0.3514016595648855,0.6831695721077655,0.47440999537251266,1.03561650962,1.029444615016999
5274,0.2500126422256638,0.3568513119533128,0.6586370839936609,0.4716335030078668,1.02025630445,1.0388362911155093
5390,0.3493805309743348,0.5296254765641928,0.6028209191759113,0.4118463674224896,1.05572709989,1.0757835675042475
2098,0.24515802781351498,0.3459520071764582,0.671188589540412,0.47422489588153627,1.04220840403,1.031849635018216
5527,0.2506194690271824,0.35342004933837706,0.6874801901743265,0.4757056918093475,0.993511762326,1.0268955570742984
1479,0.8269098789957698,0.7583378720408436,0.4869594747559429,0.6925365240962518,1.4285002340700002,1.370796310906247
6956,0.3495322376747144,0.5106526126933718,0.6027892234548337,0.42832022211938914,1.07066931652,1.071182922150578
4946,0.5949069893461314,0.9655111652192234,0.44672854878922347,0.38011502611198517,1.5437754991400001,1.524135643309037
2186,0.2491024020233859,0.35402556627042453,0.6754675118858955,0.4747801943544655,1.0505044847299998,1.0318750140256046
7582,0.3666750948176149,0.372392913209198,0.6062123613312203,0.6348912540490513,1.0474999418100002,1.0505416719248708
5685,0.26839443742141195,0.4699484189282945,0.6989963021664026,0.42711707542804256,1.13549236631,1.0750678862565817
5954,0.3484702907720568,0.5130746804215617,0.625324881141046,0.4253586302637668,1.07176470599,1.0572214555093962
2220,0.3777496839453294,0.6055169320474764,0.6973058637083993,0.40891562548172145,1.09419451482,1.0813601467305283
5523,0.3527180783826871,0.5290199596321452,0.6146751188589541,0.41721425266080514,1.03233852803,1.0676437057122428
2013,0.24682680151769115,0.34615384615380734,0.6699524564183836,0.4753354928273947,1.03627925536,1.0311614576344335
6716,0.6570796460193605,0.9742515137922209,0.5216125198098258,0.4172836649699213,1.53381674597,1.4311584217594104
1999,0.24819216182110798,0.35604395604391614,0.6522979397781299,0.4720037019898195,1.07848567143,1.042828280755134
2099,0.3670037926681846,0.5890334155642981,0.6966719492868463,0.4055221348144378,1.08729750031,1.0723581015599928
3729,0.36288242730812365,0.3574568288853603,0.6199683042789225,0.654141601110597,1.03146144838,1.0345005596796417
5057,0.34907711757357546,0.5358824848620166,0.6015213946117274,0.40703378065710316,1.12674177057,1.0789544275821528
7595,0.24834386852148765,0.34998878672344136,0.6566402535657686,0.4753354928273947,1.0308380461,1.037622824601617
3961,0.24925410872376555,0.35342004933837706,0.6801901743264659,0.47440999537251266,1.0229347448100001,1.0298690873830303
7009,0.9519595448823059,0.8887642969277991,0.5504490227147386,0.6632731759990744,1.24841907385,1.2638905820424509
