,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
354,1.22181818182,0.7078181818179999,0.5786690171891864,0.611545454545,1.72818181818,4.67727272727,0.000226454545455,0.9885454545450001,0.022390909090900003,1.07690909091e-06,0.8640909090910001,0.0381545454546,1.1189269892799998,1.0967955349458942
15,0.526902439024,0.267365853659,0.5074709006356282,0.263463414634,1.9702439024400002,0.636951219512,7.17341463415e-05,0.960926829268,0.0254082926829,2.8597560975599997e-06,0.9852439024390001,0.3449095121956,1.0200430570999999,1.0163436153496892
1292,0.5245,0.263,0.5015333147477,0.26225000000000004,1.995,0.78025,8.7125e-05,0.95725,0.03775,4.225e-06,0.997,0.069525,1.01304933039,1.0173650812392248
1258,0.49368,0.26236,0.531371700562527,0.24691999999999997,1.8808,0.48176,5.7823999999999994e-05,0.9714799999999999,0.0176476,2.09524e-06,0.9406399999999999,0.0204204,1.0177443100499999,1.0169965293567582
685,0.3554,0.2632,0.7398805573988055,0.17800000000000002,1.3519999999999999,1.1204,0.0001862,0.9546,0.053439999999999994,8.906e-06,0.6759999999999999,0.14802,1.0227235732100002,1.0266532801636818
923,0.363571428571,0.448285714286,1.2315936626280914,0.18157142857100003,0.9924285714290001,6.22485714286,0.000962714285714,0.656428571429,2.12685714286,0.000346514285714,0.496,4.46571428571,1.1290225313200002,1.0931656187138854
17,0.51,0.538875,1.05621387283237,0.255125,0.94675,303.75,0.035125,1.0,0.028945,3.385e-06,0.473375,0.036706249999999996,1.04965201774,1.038287092249624
767,0.3765,0.54575,1.4486633087950407,0.18825,0.84625,7.94,0.00104025,0.70975,1.986,0.0002636,0.4235,4.775,1.0439523525799999,1.1049659788821216
678,0.3575,0.46266666666699996,1.3010259179278085,0.178666666667,0.9309999999999999,7.238333333330001,0.0010539999999999998,0.6475,2.46716666667,0.000374183333333,0.465666666667,4.7983333333300004,1.1419966550799998,1.0987563289095148
1290,0.40266666666699996,0.392666666667,0.974987974988456,0.20133333333299996,1.0233333333299999,181.33333333299998,0.026166666666700002,0.9996666666670001,0.0433,6.213333333330001e-06,0.513,0.0649666666666,1.0008361565200001,1.0200680189694176
636,0.5195,0.2635,0.5071306332002282,0.26,1.975,1.0825,0.0001246,0.9415,0.07045,8.1e-06,0.986,0.0865,1.0280287636499998,1.0198106138460683
1167,0.35760526315800006,0.264907894737,0.7408914855904295,0.178776315789,1.3503947368399998,0.8763815789470001,0.000144486842105,0.963855263158,0.03555,5.74223684211e-06,0.6751578947369999,0.0929263157895,1.0186820366299998,1.0250403355651516
77,0.3525,0.43825,1.2431183021643202,0.176375,0.9565,7.31,0.00115275,0.626,2.696375,0.0004479125,0.478125,4.71,1.08282142881,1.0985213220384944
1149,0.513714285714,0.533285714286,1.0385629531976004,0.256714285714,0.962857142857,296.0,0.0341,1.0,0.0345,3.9771428571400005e-06,0.481428571429,0.0493285714285,1.0234245447299999,1.036745343625245
1303,0.525,0.2618,0.49932462854570014,0.2626,2.002,0.6276,7.058e-05,0.9622,0.02768,3.1139999999999997e-06,1.0008,0.04277,1.0253194105399999,1.0167294984278514
