,EXEC,L3MISS,L2MISS,PhysIPC%,INSTnom%,L2MPI,IPC,L3MPI,INST,FREQ,L3HIT,MEM,GT,Pred
954,0.2947870778267255,0.005747702205886579,0.6264204545448852,0.5073383084577114,0.29523074661963544,0.810924369747899,0.5074626865671642,0.0016350696258326596,0.6055491416945509,0.4497191738882531,1.0,0.0061613184747550155,1.01981134766,1.0193959081451076
1305,0.2637298091042585,0.013089705882362565,0.0037411818181784175,0.67363184079602,0.26396237507348613,0.005305322128851541,0.672636815920398,0.004091516264746791,0.45628730759102804,0.3031249999998537,0.95,0.02238238453274845,1.0253486100700002,1.023032929018504
625,0.2602790014684288,0.01847426470589594,0.005711363636358445,0.672636815920398,0.2608759553203997,0.008347338935574228,0.6716417910447763,0.005927661032555217,0.4564209560538307,0.29981278259216876,0.9555,0.03199785177227068,1.04473739266,1.0243653188147488
1136,0.38535766729588844,0.007446428571424593,0.002072727272726752,0.9882018479034826,0.38569748887272187,0.0020448179271708683,0.9886282871343286,0.0016143339424023447,0.3109287943403166,0.30152599849269546,0.955571428571,0.0071722418290562995,1.02159060634,1.0204214118807564
1300,0.2941262848751836,0.005977941176474984,0.6573636363630389,0.5072636815920398,0.29482657260435036,0.8532212885154061,0.5074626865671642,0.001698252472992773,0.605944716690994,0.4490909947247267,1.0,0.006435660580018027,1.01735471097,1.019231261452635
1304,0.7745961820851689,0.0058419117647028245,0.2605378787875359,0.8051409618577116,0.77625906329659,0.1280112044817927,0.8043117744626866,0.0006010908702799962,0.3816957866714524,0.745629631373286,0.999833333333,0.005768259935555442,1.11223431392,1.078737062506549
1098,0.3841409691629956,0.007830882352946935,0.001979727272725473,0.9888557213930348,0.38418577307466195,0.0019383753501400558,0.9900497512437811,0.0016880066058857276,0.31045037020344257,0.30015542577227405,0.9514,0.008238238453271624,1.02232797423,1.0201163781216842
996,0.3657856093979442,0.006158823529416294,0.0019504545454527725,0.9424875621890548,0.36625514403292175,0.0020252100840336133,0.9432835820895523,0.0014113681939955023,0.3257627821431293,0.300383854559011,0.9624,0.007388829215892917,1.00600330843,1.0213905347240941
1292,0.38509544787077826,0.008327205882359063,0.0024826136363613797,0.992039800995025,0.385435038212816,0.0024404761904761904,0.992537313432836,0.0018036995219694485,0.3097474778218166,0.300383854559011,0.95725,0.011201664876470892,1.01304933039,1.0210524382908872
1418,0.8546255506607932,0.006979411764711013,0.2648545454543047,0.8847761194029852,0.8533215755437976,0.11714285714285713,0.8855721393034827,0.000669482033219524,0.34662546207469824,0.7458199886959475,0.9998,0.00692481203007147,1.08624760449,1.0917573782560952
560,0.26211453744493396,0.010748949579846139,0.0031259090909076135,0.6744847192606965,0.26245065927542616,0.004549819927983192,0.6744847192587067,0.0034348049730267196,0.4554204693257935,0.30054701797827194,0.953285714286,0.021603498542260152,1.02513074463,1.0239952936489827
1003,0.26284875183553597,0.01230441176471493,0.0030691818181790283,0.67681592039801,0.2627865961199294,0.004414565826330531,0.6766169154228857,0.003895990967454009,0.4543202143589891,0.300383854559011,0.9442,0.023191192266367785,1.01393163304,1.0227896064944186
957,0.8452643171806169,0.005241176470592089,0.23899431818160094,0.8732587064676618,0.8449074074074073,0.10819327731092436,0.8737562189054727,0.0005276621560128374,0.35189356137865613,0.7476759725881846,0.999875,0.006175214822767898,1.04818250265,1.0900553038215732
1415,0.9618208516886932,0.0067764705882402765,0.004679181818177565,0.8206965174129355,0.9609053497942385,0.0018504201680672268,0.819900497512438,0.0005801722249364451,0.3746742353543653,0.9054917106250339,0.9756,0.009135338345859756,1.04966291698,1.1553624203452615
566,0.2549559471365639,0.5948437500004374,0.022121590909070798,0.49776119402985075,0.2551807760141093,0.02886554621848739,0.49788557213930357,0.17887576324383408,0.7373359485651996,0.4744180364541794,0.597625,0.7830290010736933,1.1116430854100001,1.0994957250428565
1309,0.26240822320117474,0.011779411764714545,0.0029928181818154615,0.6756218905472638,0.26308054085831856,0.004324929971988796,0.6766169154228857,0.0037320570937412825,0.4547127797566468,0.3008407121324848,0.9478,0.02178625134263062,1.02071754969,1.0233183043399694
637,0.3649045521292218,0.015595588235305585,0.00293840909090642,0.9393034825870649,0.36522633744855965,0.0029915966386554623,0.937810945273632,0.003519882262399551,0.32711164192193637,0.3009549265258532,0.9345,0.01206766917292585,1.0393689376000002,1.016963956470402
759,0.3731644640234949,0.012761029411774089,0.9004545454537269,0.48034825870646775,0.37367724867724866,0.9187675070028012,0.480223880597015,0.002901928402505876,0.6399778500994934,0.6016243170682853,0.99975,0.013489527389896085,1.04774710846,1.0293077954501646
148,0.2931350954478708,0.008288602941182565,0.6387499999994194,0.5049751243781094,0.2932098765432098,0.8242296918767507,0.5049751243781094,0.0023768277132697998,0.6087684246047848,0.4491481019214109,0.99975,0.008047798066590737,1.04008487562,1.019738770916879
915,0.2626389762951542,0.010764705882360857,0.003001818181816817,0.6756218905472638,0.2628705803306878,0.004373749499803921,0.6759061833681592,0.003436024719112111,0.45480546615440687,0.30071018139753286,0.950714285714,0.02162651526773812,1.0227802827899999,1.0237021718212098
1290,0.29564366128267255,0.009551470588242317,0.5769696969681118,0.5104477611940299,0.29590436997795405,0.7329598506078432,0.5091210613582089,0.002652541151044772,0.6021535504798878,0.448481851293809,0.9996666666670001,0.010467239527373542,1.0008361565200001,1.0203409410135134
685,0.26093979441997067,0.011788235294126315,0.0035649090909058508,0.672636815920398,0.2616108171663727,0.0052156862745098035,0.672636815920398,0.0038020705189727596,0.456950973753296,0.30061228334574785,0.9546,0.023848549946281505,1.0227235732100002,1.024464541122699
676,0.24684287812041117,0.3611911764708538,0.013760090909078402,0.509452736318408,0.24720752498530274,0.021983193277310922,0.5104477611940299,0.1371153165600349,0.668687322333153,0.4152835342876669,0.6436,0.6679914070887928,1.0806692517299998,1.071322962297164
754,0.2630323054331865,0.013792279411774846,0.0033568181818151304,0.6776119402985075,0.26381540270429155,0.00484593837535014,0.677860696517413,0.004376906354790952,0.45388731839528307,0.3006693905424321,0.9440000000000001,0.02602443609021159,1.0084458957,1.022783831464396
570,0.2622194252151248,0.010188025210088372,0.0030127272727240796,0.675195451314428,0.2622406987492651,0.004409763905574229,0.6751954513134328,0.0032676997594988048,0.45520567928921446,0.30071018139753286,0.954857142857,0.01911308884455472,1.0170487386,1.0244458476586684
