Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C4res%,C5res%,C6res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,Proc Energy (Joules),READ,TIME(ticks),WRITE,Slowdown
num-200000,2.83E+05,1.01,91.9,0,8.05,0,0,0,0,0,0,0,0,1.31,0.93,3.97E+05,2.61,65.3,1.4,0.695,55.8,0.00014,0.326,35.6,8.96E-05,2.81,70.2,607,22.5,3.80E+04,39,1.370246842
num-200000,3.20E+05,1,99.8,0,0.249,0,0,0,0,0,0,0,0,1.12,1,3.56E+05,2.23,55.8,1.11,0.687,147,0.000413,0.266,95.4,0.000268,2.23,55.7,617,49.8,3.99E+04,92.6,1.438699256
num-200000,2.01E+05,1.01,76.7,0,23.1,0,0,0,0,0,0,0,0,1.02,0.774,2.66E+05,2.04,51.1,1.32,0.7,68.5,0.000258,0.24,46.9,0.000176,2.64,66,471,26.6,3.25E+04,57.6,1.169463351
num-200000,2.67E+05,1.01,89.8,0,10.2,0,0,0,0,0,0,0,0,1.1,0.903,3.25E+05,2.2,55,1.22,0.743,128,0.000393,0.318,70.6,0.000217,2.44,60.9,567,43.6,3.70E+04,75.8,1.339216435
num-200000,3.27E+05,1.02,99.9,0,0.106,0,0,0,0,0,0,0,0,1.21,1.01,3.89E+05,2.41,60.3,1.19,0.729,195,0.000501,0.551,61.4,0.000158,2.38,59.5,664,58.2,4.04E+04,62.3,1.443623543
num-200000,1.63E+05,1.01,64.2,0,35.4,0,0,0,0,0,0,0,0,1.13,0.65,2.81E+05,2.25,56.3,1.73,0.696,44.1,0.000157,0.335,27.9,9.91E-05,3.46,86.5,459,17,3.13E+04,30,1.148152748
num-200000,3.37E+05,1.01,98.5,0,1.49,0,0,0,0,0,0,0,0,1.12,0.993,3.81E+05,2.24,56.1,1.13,0.71,110,0.000289,0.29,67.3,0.000177,2.26,56.5,658,41.9,4.25E+04,102,1.526672077
num-200000,1.66E+05,1.01,65.7,0,34.2,0,0,0,0,0,0,0,0,0.94,0.661,2.36E+05,1.88,47,1.42,0.709,69.1,0.000293,0.275,42.4,0.00018,2.84,71.1,439,27.8,3.14E+04,60.1,1.153017224
num-200000,1.99E+05,1.01,77.4,0,22.3,0,0,0,0,0,0,0,0,1.24,0.783,3.16E+05,2.48,62.1,1.59,0.714,40.8,0.000129,0.343,22.7,7.16E-05,3.17,79.3,490,17.3,3.18E+04,30.1,1.18070723
num-200000,3.15E+05,1.01,99.8,0,0.171,0,0,0,0,0,0,0,0,1.3,1.01,4.04E+05,2.6,65,1.28,0.696,55.6,0.000138,0.326,32.9,8.14E-05,2.57,64.2,630,26.4,3.89E+04,58.3,1.395539959
num-200000,3.17E+05,1,96.3,0,3.58,0,0,0,0,0,0,0,0,1.1,0.966,3.59E+05,2.19,54.8,1.13,0.739,197,0.000548,0.465,75.6,0.000211,2.27,56.7,630,67.2,4.10E+04,74.2,1.46704655
num-200000,3.26E+05,1.02,98.9,0,1.15,0,0,0,0,0,0,0,0,1.18,1,3.85E+05,2.36,59.1,1.18,0.598,110,0.000286,0.199,76,0.000198,2.36,58.9,662,41.2,4.07E+04,97.1,1.461739073
num-200000,3.25E+05,1,99.4,0,0.634,0,0,0,0,0,0,0,0,1.14,0.997,3.72E+05,2.28,57,1.14,0.66,121,0.000325,0.247,78.4,0.000211,2.29,57.2,634,44.6,4.08E+04,96.2,1.470888523
