Configuration,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
num-500000,1.27,1.01,924000,2.54,1.26,0.751,264,0.000286,0.451,118,0.000127,2.51,98.1,120,1.446224258
num-500000,1.25,1.01,918000,2.5,1.23,0.745,243,0.000265,0.41,118,0.000129,2.47,95.4,142,1.4606211459
num-500000,1.17,1.01,865000,2.33,1.15,0.679,253,0.000292,0.242,174,0.000202,2.31,91.3,198,1.4705760819
num-500000,1.26,1.01,914000,2.53,1.25,0.736,237,0.000259,0.433,112,0.000123,2.51,83.5,116,1.433565906
num-500000,0.885,0.842,599000,1.77,1.05,0.7,302,0.000505,0.253,204,0.000341,2.1,105,222,1.3450777458
num-500000,1.02,0.914,660000,2.03,1.11,0.687,261,0.000396,0.231,184,0.000278,2.22,87.3,194,1.2917294669
num-500000,1.07,0.774,642000,2.14,1.38,0.673,132,0.000205,0.268,82.9,0.000129,2.77,57,134,1.1969322313
num-500000,1.17,1.01,865000,2.34,1.16,0.733,295,0.000341,0.421,144,0.000167,2.33,109,181,1.4636848282
num-500000,1.2,1.01,881000,2.4,1.19,0.737,252,0.000286,0.313,153,0.000173,2.38,94.9,177,1.4602674275
num-500000,1.13,0.993,835000,2.27,1.14,0.752,422,0.000505,0.49,165,0.000198,2.29,144,166,1.4588860181
num-500000,1.24,1.01,903000,2.47,1.23,0.754,244,0.00027,0.367,137,0.000152,2.45,82.8,138,1.4479204152
num-500000,1.23,1.01,912000,2.47,1.22,0.759,352,0.000387,0.535,126,0.000138,2.45,114,131,1.4643682357
num-500000,1.09,1.01,881000,2.17,1.08,0.706,393,0.000447,0.312,239,0.000272,2.16,129,236,1.6059898468
num-500000,0.724,0.652,419000,1.45,1.11,0.677,193,0.000461,0.308,110,0.000263,2.22,73.2,198,1.1523733325
num-500000,1.03,0.962,745000,2.06,1.07,0.735,332,0.000446,0.319,195,0.000262,2.14,126,230,1.4369990527
num-500000,1.27,0.952,878000,2.55,1.34,0.78,165,0.000188,0.444,84,0.0000956,2.67,58.2,98.5,1.3700228397
num-500000,1.03,0.995,760000,2.06,1.03,0.75,392,0.000516,0.323,228,0.0003,2.07,147,232,1.4664117529
num-500000,0.745,0.522,418000,1.49,1.43,0.653,134,0.000322,0.273,83.2,0.000199,2.85,57.8,146,1.1212672363
num-500000,0.736,0.758,472000,1.47,0.97,0.706,342,0.000726,0.273,218,0.000462,1.94,118,221,1.2825107935
