Configuration;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C3res%;C6res%;C6res%;C7res%;C7res%;C8res%;C9res%;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);WRITE;SLOWDOWN
layer-5-particle-2700;5.53e+05;1.01;99.9;0;0.0859;0;0;0;0;0;0;0;0;0;1.15;1.01;6.32e+05;2.31;57.7;1.14;0.663;327;0.000516;0.72;85.3;0.000135;2.29;57.1;1.03e+03;53.3;6.85e+04;155;2.24352160918
layer-5-particle-2700;4.52e+05;1.05;95.6;0;4.2;0;0;0;0;0;0;0;0;0;1.2;1;5.43e+05;2.4;60.1;1.2;0.706;421;0.000776;0.734;94.8;0.000175;2.4;60.1;911;83.1;5.65e+04;96.2;1.84772120897
layer-5-particle-2700;3.2e+05;1.01;69.1;0;30.5;0;0;0;0;0;0;0;0;0;0.685;0.695;3.15e+05;1.37;34.2;0.986;0.671;385;0.00122;0.599;144;0.000457;1.97;49.3;747;73.1;5.76e+04;165;1.88935356693
layer-5-particle-2700;3.1e+05;1.02;89.8;0;10.1;0;0;0;0;0;0;0;0;0;1.02;0.912;3.46e+05;2.03;50.9;1.11;0.698;279;0.000806;0.705;77.6;0.000224;2.23;55.7;625;44;4.25e+04;107;1.39465652838
layer-5-particle-2700;3.88e+05;0.945;99.8;0;0.19;0;0;0;0;0;0;0;0;0;1.18;0.944;4.85e+05;2.36;59.1;1.25;0.745;281;0.000579;0.797;49.2;0.000101;2.51;62.6;671;49.1;5.13e+04;63.8;1.68311999141
layer-5-particle-2700;4.13e+05;1.01;98.4;0;1.57;0;0;0;0;0;0;0;0;0;1.34;0.995;5.54e+05;2.67;66.8;1.34;0.785;157;0.000282;0.804;29.9;5.4e-05;2.69;67.1;782;25.1;5.19e+04;53.9;1.70312578894
layer-5-particle-2700;4.96e+05;1.01;99.2;0;0.801;0;0;0;0;0;0;0;0;0;1.09;1;5.39e+05;2.18;54.5;1.09;0.685;382;0.000709;0.556;159;0.000296;2.17;54.3;927;73.7;6.18e+04;147;2.01804259485
layer-5-particle-2700;4.28e+05;1.02;99.6;0;0.356;0;0;0;0;0;0;0;0;0;0.853;1.01;3.61e+05;1.71;42.6;0.843;0.682;618;0.00171;0.729;133;0.000369;1.69;42.1;804;120;5.29e+04;132;1.73518724658
layer-5-particle-2700;4.34e+05;1.01;99.8;0;0.17;0;0;0;0;0;0;0;0;0;0.97;1;4.19e+05;1.94;48.5;0.966;0.679;534;0.00127;0.699;140;0.000335;1.93;48.3;809;101;5.4e+04;141;1.76858082084
layer-5-particle-2700;1.82e+05;1.01;55.9;0;41.8;0;0;0;0;0;0;0;0;0;0.727;0.567;2.33e+05;1.45;36.3;1.28;0.687;251;0.00108;0.697;72.1;0.000309;2.56;64;522;39.9;4.01e+04;90;1.30345170874
