,EXEC,L2MISS,L3MISS,L3HIT,MEM,L3MPI,L2MPI,INSTnom%,IPC,PhysIPC%,INST,FREQ,GT,Pred
1934,0.4042035398230089,0.014316551370740458,0.4675910269417202,0.3423223652837387,0.5445591447292794,0.45731647554640786,0.0148573790822654,0.40446165191740424,0.9326342548458847,0.9330470737913484,0.38113572827071623,0.3235650767987065,1.0230292521472448,1.0309173752871985
111,0.9402654867256636,0.2851652574942352,0.36233634475095405,0.9759656652360513,0.4470793030397583,0.15341706220859408,0.12788047008799383,0.94070796460177,0.7265422851695492,0.7272355507088331,0.4898131160669349,0.9664510913500404,1.1172287101823593,1.1810384824251456
4138,0.27643805309734515,0.014285165257494237,0.4723255551797993,0.34132093466857416,0.6012568494462966,0.6743114770165637,0.021608102521703185,0.27643805309734504,0.6458531935176356,0.6466284987277353,0.5503203335526653,0.31911883589329026,1.0254135570407956,1.0272523342368265
1667,0.4148230088495575,0.8189853958493468,0.4257210493260543,0.9904148783977111,0.4649808680800749,0.4062670643088167,0.8135593220338984,0.41482300884955753,0.374574424622089,0.3748636859323882,0.9495119325725866,0.826481117911999,1.203997405381754,1.1772845343167195
2537,0.4134955752212389,0.9506629515757111,0.503043625295908,0.9907904148783977,0.48145189102195657,0.4847103793002058,0.9682720132286069,0.41330199115044247,0.37934938036224974,0.37953244274809156,0.936709015592998,0.8133589329021825,1.2977715188514098,1.3184365488976217
289,0.6371497050147491,0.0241314373558801,0.4671401194904745,0.4616595135908441,0.5538491014292831,0.286778398510242,0.015618023976849941,0.6372787610619471,0.8802033682872576,0.8819974554707379,0.40510972117532773,0.5418350848827809,1.0328046942390576,1.0454798765021207
2545,0.6175331858407078,0.023454394055854474,0.38056588885131315,0.5315927515498331,0.45162125914856116,0.24659413897873173,0.016093427035965276,0.6176622418879056,0.8516047028916428,0.8520992366412213,0.4177943712368335,0.5424413904607921,1.0652189328159336,1.0821042834205055
205,0.6383112094395279,0.017670381757622346,0.4188930222071919,0.4526466380543634,0.49795608690654086,0.26247182201313335,0.01172798677139314,0.6385693215339232,0.9350174769621862,0.9371819338422389,0.3800777834751398,0.5099029911075181,1.0303156731874683,1.0477543963414395
277,0.6419247787610618,0.022557647963105307,0.391838575132454,0.5042203147353361,0.4776181170249455,0.24384984808389684,0.014844977263331957,0.641924778761062,0.8889418493803621,0.8904262086513994,0.40075720802461967,0.5396119644300726,1.040002055145696,1.057946697303756
1643,0.4079646017699115,0.7355880092236743,0.48234214213247006,0.9882689556509299,0.5808812178739757,0.46826563615743266,0.7526132404181185,0.40796460176991156,0.36783331063597974,0.3683206106870229,0.9664013038300008,0.8275204989028756,1.0684420750269077,1.0771509281342562
3911,0.4195796460176991,0.9004611837048425,0.36987294072177396,0.9928469241773963,0.38432660568538257,0.34662074179863067,0.8915136124726865,0.4192477876106194,0.3780471197058423,0.37854416575790617,0.9420591136164992,0.8280401893983139,1.2535538798092805,1.2493552227812197
3251,0.41305309734513274,0.7916986933128364,0.4835016184356732,0.9891273247496422,0.558468132626082,0.4655773511992271,0.8078899190928955,0.41327433628318583,0.3766171864360615,0.37690839694656486,0.9456105094711772,0.8188589906455711,1.1445505118889432,1.115688627935239
1112,0.4062684365781711,0.012653087368690754,0.42926389358584144,0.32212684787792084,0.506901176380427,0.4206605900225424,0.01313766019016122,0.40601032448377583,0.9524944391483953,0.9530852417302798,0.3734209218825338,0.31831042845594176,1.022663570846441,1.0172196687308985
