,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
2426,1.05,0.4803333333330001,0.264333333333,0.5495934959353659,0.240333333333,1.81666666667,0.725,0.0015033333333299998,0.722333333333,0.909333333333,1.3374666666666999,1.02566610256,1.016696839690134
6413,0.964285714286,1.03342857143,0.5737142857140001,0.5552969502410112,0.517142857143,1.80428571429,0.906285714286,0.000203428571429,0.509285714286,0.9028571428569999,0.9210799999995999,1.12470399433,1.0914096722976403
7086,0.989,1.1842857142899998,0.960571428571,0.8118741058673988,0.591714285714,1.23142857143,0.575857142857,0.00202714285714,0.963714285714,0.616285714286,0.7529714285714,1.42861700895,1.4362177148992679
1680,1.05,0.47,0.263,0.5605749486650675,0.234666666667,1.78666666667,0.7246666666670001,0.00168333333333,0.7086666666670001,0.8923333333329999,1.4976666666633,1.03314082609,1.0230695516191335
4866,1.05,0.534666666667,0.262666666667,0.49116347570010727,0.26733333333299997,2.03666666667,0.712333333333,0.000386,0.338666666667,1.018,0.86009,1.0180545934799998,1.0364199467395638
5115,1.05,0.537333333333,0.262,0.48730964467022747,0.268666666667,2.05333333333,0.75,0.000342666666667,0.349,1.02333333333,0.7744033333333,1.0502580903399998,1.0447709179846936
7308,0.988333333333,1.035,0.908166666667,0.8782771535561797,0.5175,1.1416666666700002,0.6205,0.003615,0.971833333333,0.570166666667,0.8291766666670001,1.31058925405,1.3190024915067893
8253,1.03322222222,1.12333333333,0.962,0.8565573770505192,0.561555555556,1.16777777778,0.68,0.00275,0.965444444444,0.584,0.8182955555557999,1.33724532247,1.3384285264542186
665,1.05,0.356666666667,0.264333333333,0.7411308204000783,0.178333333333,1.35,0.672,0.000851666666667,0.334333333333,0.6753333333329999,1.3312000000033,1.02043404319,1.0213715036125266
2713,1.05,0.358666666667,0.262333333333,0.7324175824166305,0.17933333333299997,1.37,0.709333333333,0.0007376666666669999,0.341,0.6833333333330001,1.1849666666632999,1.0350656273299998,1.024562684494089
6150,1.0156,1.104,0.7304,0.6616541353383458,0.552,1.51,0.7166,0.0010496,0.9014,0.7556,0.9679,1.01734585156,1.0685527037507232
1415,1.05,0.522333333333,0.261,0.4998147462024825,0.261,2.0,0.6733333333329999,0.00054,0.30466666666700004,1.0,1.1969333333332999,1.0183306467,1.0199744776447837
5114,1.05,0.533333333333,0.261333333333,0.4903107861058536,0.26633333333299997,2.04,0.7446666666670001,0.00034066666666700003,0.344666666667,1.02,0.774316666667,1.03662536407,1.0446892839558743
2646,1.05,0.527666666667,0.262333333333,0.4970304380100222,0.264,2.01333333333,0.673666666667,0.00048,0.306,1.0046666666700002,1.0796000000033001,1.01894523653,1.0224814575762353
5805,1.024,0.870833333333,0.6025,0.6917502787090302,0.4355,1.445,0.223666666667,0.00915166666667,0.9865,0.723,0.95545,1.04249629571,1.036675572104473
6806,0.974,0.8215,0.5835,0.7119565217391305,0.41100000000000003,1.4075,0.20775,0.0099625,0.988,0.7045,0.9151499999999999,1.11025938189,1.090807762376433
505,1.05,0.517666666667,0.261333333333,0.5043184378522327,0.259,1.98333333333,0.614333333333,0.000576333333333,0.305333333333,0.992333333333,1.2515,1.03057671579,1.019878308538535
6158,1.0308,1.1740000000000002,0.9026,0.7665995975855131,0.5886,1.304,0.7394,0.0006977999999999999,0.731,0.6518,0.92576,1.13407417778,1.1830033188128835
2705,1.05,0.484666666667,0.263333333333,0.5435835351089588,0.242333333333,1.84,0.718333333333,0.00157,0.767666666667,0.919666666667,1.2047333333366999,1.04565919756,1.017969821374376
4738,1.05,0.355,0.261333333333,0.7352454495310178,0.177666666667,1.36333333333,0.687333333333,0.000820333333333,0.34533333333300004,0.68,1.2582999999966997,1.02326516956,1.0243719301560466
6356,1.02883333333,1.09333333333,0.8405,0.7711711711729731,0.545833333333,1.3,0.150166666667,0.00817,0.989833333333,0.6495000000000001,0.8175716666662999,1.29176361565,1.2519091527123547
888,1.05,0.467666666667,0.262,0.5606694560671295,0.23399999999999999,1.78333333333,0.740333333333,0.0016300000000000002,0.746,0.891333333333,1.2562000000000002,1.03423333335,1.018568907277635
2302,1.05,0.360333333333,0.262333333333,0.7279610600333846,0.18,1.37333333333,0.7136666666670001,0.000722333333333,0.343666666667,0.687333333333,1.14896666667,1.0284751991,1.0252382486343339
6308,1.048,0.8756,0.5388,0.6156123822341857,0.4376,1.628,0.3882,0.0026620000000000003,0.9524,0.8131999999999999,0.998562,1.00230690125,0.9830160413621125
3774,1.05,0.358666666667,0.266,0.7407608695650765,0.17933333333299997,1.35333333333,0.6976666666670001,0.0008269999999999999,0.353,0.6753333333329999,1.2721666666667,1.0382460920799998,1.0208767010143194
585,1.05,0.470333333333,0.264,0.5615062761499742,0.235333333333,1.78333333333,0.7120000000000001,0.00170333333333,0.7,0.8909999999999999,1.5173000000033001,1.0233473131,1.0231578867677218
4537,1.05,0.364666666667,0.262666666667,0.7207446808512123,0.182333333333,1.39,0.7453333333329999,0.0006389999999999999,0.392,0.6933333333330001,0.9967333333330001,1.01235495552,1.0326973099499164
7448,1.00514285714,1.20142857143,0.886428571429,0.7386685552418394,0.600285714286,1.35428571429,0.793428571429,0.000508285714286,0.425571428571,0.677714285714,0.8580999999997001,1.27229584402,1.2582966691196265
595,1.05,0.519,0.263666666667,0.5084491175360464,0.25933333333299996,1.96666666667,0.629666666667,0.000633,0.297333333333,0.982,1.3731666666667,1.0331130159100002,1.0179852770198432
7424,0.997428571429,1.18857142857,0.8795714285709999,0.7386363636337083,0.594285714286,1.35142857143,0.879428571429,0.000507285714286,0.443142857143,0.6758571428569999,0.8478285714281,1.24117719722,1.2666809187414814
3429,1.05,0.528,0.262333333333,0.4977561705315998,0.264,2.01,0.689666666667,0.000452666666667,0.322,1.00366666667,0.9957000000003,1.0178104409200002,1.0262777172716209
